,Artist,Track,ID,energy,acousticness,valence,danceability,tempo
889,Tove Lo,True Disaster,6s7PleW93OfE3YnujL9yxw,0.759,0.0528,0.336,0.608,96.959
890,Townes Van Zandt,Kathleen,33pCuM1mBp8waNeKBpXy6H,0.115,0.771,0.331,0.428,91.69
891,Townes Van Zandt,Our Mother The Mountain,50ir5TASs5emq5j9pr0Gtc,0.262,0.523,0.193,0.338,69.74
892,Two People,Fading,1uX9rCjF7LXcHJRz9LcCpg,0.598,0.639,0.313,0.475,106.785
893,Two People,It's Late,6gu4mDRJuJMn1aYMMQNJwd,0.542,0.39,0.294,0.673,115.44
894,Varsity,So Sad,5rKor0rlCbaA7j755zhnhb,0.518,0.0748,0.262,0.397,113.737
895,Weyes Blood,Nearer to Thee,7s9I4aCM8cfe2cSgPaPezg,0.117,0.785,0.0712,0.173,87.417
896,Wire,Ex Lion Tamer,5bb71zUIXMD6fsnHBLaoQ6,0.856,0.259,0.679,0.343,161.846
897,Wire,French Film Blurred,6mYjDAyZeCUeOCU1rWJHWx,0.492,0.729,0.634,0.686,107.589
898,çè²,åæ¶æ¯ç´è²å¤©ç©º,,,,,,
899,3 Doors Down,Landing in London (Acoustic Version) (ft Bob Seger),,,,,,
900,Acid Ghost,When the Sun Rises,,,,,,
901,Aerosmith,Dream On,5MxNLUsfh7uzROypsoO5qe,0.433,0.388,0.224,0.307,160.9
902,Aerosmith,Walk This Way,5SZ6zX4rOrEQferfFC2MfP,0.73,0.0114,0.894,0.653,108.705
903,Alice in Chains,Rotten Apple (Album Version) (Album Version),,,,,,
904,Alien Mustangs,Alone,,,,,,
905,America,A Horse With No Name,54eZmuggBFJbV7k248bTTt,0.506,0.686,0.831,0.654,123.179
906,Ariana Grande,Side to Side (feat. Nicki Minaj),7dgh0zpQhFVNTTmvtmTTWe,0.725,0.0433,0.681,0.643,159.159
907,Barrie,Michigan,2IfpB3v2bZxfPVwyTyVdaX,0.66,0.529,0.533,0.682,95.978
908,Bauhaus,In Fear of Fear,4yfTBlDDEOe7835zF1X7oN,0.523,0.0109,0.901,0.548,156.331
909,Beach House,10:37,3ETUDzHZP3Ue3C767F9jxM,0.408,0.718,0.525,0.578,96.083
910,Beach House,Beyond Love,2J2hSpUJ3aQXx81q2qqxMj,0.558,0.569,0.194,0.378,160.379
911,Beach House,Levitation,7EWDXdu3BzLLCuAGrAx4RT,0.45,0.536,0.0662,0.166,142.243
912,Beach House,Space Song,7H0ya83CMmgFcOhw0UB6ow,0.792,0.229,0.601,0.508,147.067
913,Beach House,Wildflower,24bzJwjGBWtGCs7xKIKQsB,0.508,0.536,0.217,0.44,81.097
914,Billie Eilish,you should see me in a crown,3XF5xLJHOQQRbWya6hBp7d,0.533,0.462,0.323,0.678,150.455
915,Blondie,Call Me,7HKxTNVlkHsfMLhigmhC0I,0.833,0.000646,0.773,0.554,142.673
916,Britney Spears,Toxic,6I9VzXrHxO9rA9A5euc8Ak,0.838,0.0249,0.924,0.774,143.04
917,BÃ¼low,Not A Love Song,,,,,,
918,Cage the Elephant,Cold Cold Cold,1Q3t9fWvHUXKsMmpD2XpUu,0.789,0.0178,0.715,0.549,136.125
919,Calvin Harris,Outside (feat. Ellie Goulding),7MmG8p0F9N3C4AXdK6o6Eb,0.823,0.213,0.418,0.646,128.035
920,Calvin Harris, Dua Lipa,7ef4DlsgrMEH11cDZd32M6,0.862,0.037,0.592,0.791,123.994
921,Carly Rae Jepsen,Making the Most of the Night,13zEyjK3DZm0YtZObaaS1O,0.875,0.00382,0.529,0.608,112.924
922,Charli XCX,Drugs,2JjQNEYozHM41eQPFgOV6j,0.658,0.000982,0.22,0.67,139.95
923,Charli XCX,White Roses,363vy5ekQwiC5ilmiMhqbA,0.322,0.0544,0.0746,0.585,129.812
924,Charlie Puth,How Long,6wmAHw1szh5RCKSRjiXhPe,0.561,0.211,0.811,0.845,109.974
925,Charlotte Lawrence,Why Do You Love Me (Acoustic),6jNkx6LBHjaR15GMJ4ibCC,0.437,0.785,0.467,0.575,119.965
926,Chevelle,The Red,1gyee1JuFFiP476LQpRMYU,0.843,0.000671,0.332,0.509,140.055
927,Chuck Berry,You Never Can Tell,6FT83pFXKhDlXDsNJFAHWz,0.852,0.731,0.884,0.525,157.404
928,Coldplay,Life in Technicolor II,0VpFFXnT2kNjqJmTv57aZi,0.909,0.00158,0.278,0.472,131.051
929,Creedence Clearwater Revival,It Came Out of the Sky,3bgTFCt5CTfasvpigHAdL0,0.89,0.225,0.965,0.621,148.417
930,Crosby, Stills & Nash,,,,,,
931,Crosby, Stills,,,,,,
932,Cutting Crew,(I Just) Died in Your Arms,4ByEFOBuLXpCqvO1kw8Wdm,0.726,0.0158,0.507,0.625,124.945
933,Depeche Mode,Home,747YFXlsStfjON5cmYMT0d,0.725,0.0829,0.463,0.473,150.741
934,dEUS,Ghost,3o1KKkyK2rZTowwXljbhtW,0.559,0.317,0.138,0.696,104.983
935,Doja Cat,Shine,5xIDCYGTyLaDkiaaulVPcJ,0.629,0.421,0.289,0.567,112.087
936,Dua Lipa,Be the One,1ixphys4A3NEXp6MDScfih,0.651,0.117,0.368,0.661,87.46
937,Eagles,Already Gone,0CKxrnF9KplS21LTjkkqsW,0.812,0.00591,0.811,0.465,146.2
938,Eagles,I Can't Tell You Why,02BsTeJE4q5gWOTt58ur5U,0.346,0.69,0.49,0.707,85.094
939,Echo & the Bunnymen,Ripeness,4M8V84pWABXVC4hMfF9WJI,0.87,0.182,0.841,0.519,147.932
940,Eminem,25 to Life,0dyWQoMOU9oERL6c9vxtRp,0.931,0.239,0.362,0.701,79.996
941,Eric Clapton,Layla [Derek and the Dominos],,,,,,
942,f(x),4 Walls,2YkjXEab4USTV9uuAgC90E,0.849,0.212,0.223,0.735,125.972
943,Foo Fighters,All My Life,6tsojOQ5wHaIjKqIryLZK6,0.604,0.000218,0.637,0.577,167.719
944,For Against,Love You,1Pvbf6Dy8z3R5CTsJ1PsKT,0.707,0.000105,0.283,0.311,125.511
945,Fossils,Hansnuhana,5fIWOnufnkAtDp9SDqRMD3,0.427,0.27,0.307,0.528,133.127
946,Frank Ocean,Pink + White,3xKsf9qdS1CyvXSMEid6g8,0.552,0.67,0.554,0.544,159.738
947,fun.,Why Am I the One,5QbQ5iAebksB5Wj5BPazNX,0.499,0.44,0.501,0.408,82.157
948,Have a Nice Life,A Quick One Before the Eternal Worm Devours Connecticut,34dkZZNQJzEJRqPkywYmEY,0.172,0.608,0.0369,0.365,74.53
949,Have a Nice Life,Deep,71zmhACsxU6kGNtZBWSiiZ,0.962,0.00909,0.241,0.415,135.059
950,Have a Nice Life,Hunter,052QjISGAv9TPgtypVETn1,0.384,0.696,0.0786,0.581,125.023
951,Have a Nice Life,The Big Gloom,6r4Ux7Szu6ncGMjVh0tmCB,0.472,0.373,0.174,0.166,129.35
952,Horsebeach,Net Cafe Refuge,0BVgKT3Aiju6ROJxxH1NUb,0.618,0.0407,0.721,0.489,124.963
953,James Taylor,You've Got a Friend,,,,,,
954,Jimmy Eat World,Action Needs an Audience,4wWQfo5vHRiwDsAVVEPPVn,0.952,0.000193,0.491,0.515,131.088
955,Joy Division,No Love Lost,3DGl2F6Rw8EZV35H4K9sgz,0.71,0.117,0.623,0.515,133.278
956,Kara's Flowers,That's Not Enough,,,,,,
957,Kara's Flowers,The Great Getaway,,,,,,
958,Kasabian,Days Are Forgotten,0Dn8G1WBbt2SXlwzU5NbmN,0.958,0.00127,0.292,0.587,105.008
959,Kim Petras,Turn Off The Light,3uRjtgmTpk61WqnEhafUSn,0.829,0.00421,0.0947,0.698,115.029
960,Led Zeppelin,Kashmir,2nVHqZbOGkKWzlcy1aMbE7,0.536,0.488,0.581,0.48,80.617
961,Linkin Park,Burning in the Skies,74d6TJmbOtWswxvbQ3m1eu,0.891,0.0417,0.462,0.607,120.012
962,Linkin Park,In the End,60a0Rd6pjrkxjPbaKzXjfq,0.864,0.00958,0.4,0.556,105.143
963,Linkin Park,Leave Out All the Rest,0sp00HSXkQyqTa6QqM0O8V,0.629,0.209,0.237,0.509,80.012
964,Linkin Park,Numb,2nLtzopw4rPReszdYBJU6h,0.863,0.0046,0.243,0.496,110.018
965,Linkin Park,Session,5KNJ2qBD92lNfdcdcHmzEY,0.936,0.0336,0.235,0.562,98.039
966,Local Natives,Mt. Washington,5BX9R694ZWdgyMEgswWvgY,0.362,0.19,0.174,0.482,76.879
967,Mac DeMarco,For the First Time,4LB5cNN7f18wIJA2RU4iIO,0.529,0.299,0.522,0.551,75.515
968,Megadeth,Five Magics,3tISv448Ikxvpq2ZrFyGG2,0.964,0.000287,0.198,0.26,175.207
969,Megadeth,Poison Was The Cure,6HqnBoikcyjy7I1kbrfhlr,0.875,0.000147,0.405,0.278,161.041
970,Megadeth,Symphony of Destruction,51TG9W3y9qyO8BY5RXKgnZ,0.891,0.000805,0.51,0.61,139.903
971,Megadeth,Tornado Of Souls,4E5xVW505akJX0wcKj8Mpd,0.982,0.00203,0.361,0.519,97.745
972,Mild Orange,Stranger,0NGjXNfzZVv1MsXttI9KpS,0.494,0.459,0.46,0.557,151.989
973,Molchat Doma,ÑÐµÑÐ½Ð¾Ð»Ð¾Ð³Ð¸Ñ,,,,,,
974,My Bloody Valentine,Sometimes,5KBKqxYY263Tr0haAu3fMz,0.651,6.79e-05,0.0395,0.351,128.453
975,Mystic Braves,Bright Blue Day Haze,1RNybormZ5O0s3DCIRQWq4,0.909,7.36e-05,0.427,0.309,134.422
976,Nada Surf,Inside of Love,56hMpSZ6CZ2gjmdKdNN8pz,0.762,0.0248,0.412,0.394,178.721
977,New Order,Chosen Time - 2015 Remaster,3cNQLJG59xRFGT8cb8KwSi,0.848,0.00126,0.533,0.348,160.222
978,Nick Drake,Time Has Told Me,20FLGZPgMHXlU0VpQ0HpxN,0.298,0.739,0.472,0.601,110.28
979,Nine Inch Nails,Only,0m1DJ5Jkv3kdnGrcZsJFmC,0.807,0.000576,0.963,0.7,112.15
980,Oasis,Champagne Supernova,6EMynpZ10GVcwVqiLZj6Ye,0.853,0.223,0.119,0.303,150.381
981,Paper Rival,Are We Brothers?,4OxTI9uUSretrXjCkt4eyr,0.927,0.00179,0.596,0.51,126.008
982,Peach Pit,Alrighty Aphrodite,6OiRh4kttAs1YWglvTcYkB,0.724,0.00605,0.503,0.534,81.846
983,Pixies,Gouge Away,6zYowbcWgqkyWHtvp6BUxL,0.605,0.227,0.347,0.555,121.804
984,Pixies,Silver,2p74TLDP6dmfGpY9mel4hN,0.284,0.00108,0.398,0.555,88.307
985,Poets of the Fall,Temple of Thought,22rDQHfjPZD2beNWa481Fe,0.715,0.0174,0.255,0.298,188.117
986,Portishead,It Could Be Sweet,1cpnpMvnvmdy3hzYgd5oo9,0.52,0.698,0.556,0.668,153.963
987,Portishead,Strangers,6pW8YspamPCxUwgvYttTSc,0.617,0.0355,0.25,0.659,84.078
988,Puddle of Mudd,Blurry,6lSr3iZTC144PKhvbPFzMp,0.938,0.00805,0.523,0.431,157.462
989,Push to Talk,Problems,0hDjsQO2vxDSZIiD0C0cpx,0.942,0.00341,0.628,0.59,129.934
990,R.E.M.,Losing My Religion,31AOj9sFz2gM0O3hMARRBx,0.855,0.179,0.803,0.666,125.639
991,Radiohead,Sail to the Moon. (Brush the Cobwebs Out of the Sky.),,,,,,
992,Rage Against the Machine,Wake Up,2QiqwOVUctPRVggO9G1Zs5,0.893,0.00563,0.513,0.411,170.407
993,Robin Guthrie & Harold Budd,Neil's Farewell,,,,,,
994,Roosevelt,Montreal (Original Mix),,,,,,
995,Ruby Haunt,Sanctuary,4e4PGzYFYlHzirEtJciAfk,0.411,0.471,0.225,0.581,73.997
996,Simon & Garfunkel,A Most Peculiar Man,5B5dFE2ofUxmsXbhGrPZT9,0.483,0.411,0.656,0.487,65.383
997,Simon & Garfunkel,April Come She Will,0djZ2ndRfAL69WYNra5jRC,0.186,0.863,0.349,0.489,102.245
998,Slowdive,Star Roving,6oeABvJGU7Oztzd3CiSv0l,0.932,0.0733,0.397,0.326,143.927
999,Sonic Youth,She Is Not Alone,6p5dUkWbOtGIP0O01kv9h2,0.568,0.575,0.583,0.668,104.969
1000,Sonic Youth,Stones,1hVhfJiDdR3KHAVW97Dp6k,0.811,0.0158,0.789,0.468,125.039
1001,Sonic Youth,The World Looks Red,1uq9E1t4rk4Uw0wW8VgDkc,0.862,0.0261,0.416,0.281,160.159
1002,Stanton Lanier,Dreams In the Night,4NXlsORkExosSY2riMB4vS,0.127,0.99,0.106,0.354,108.02
1003,Stealers Wheel,Stuck in the Middle With You,1b7LMtXCXGc2EwOIplI35z,0.564,0.0934,0.961,0.795,124.166
1004,Stevie Nicks,Edge of Seventeen,2id8E4WvczfKHB4LHI7Np3,0.828,0.277,0.636,0.59,111.353
1005,Sting,Englishman in New York,4KFM3A5QF2IMcc6nHsu3Wp,0.347,0.396,0.647,0.674,102.013
1006,Styx,Suite Madame Blue,1gufwupdoA0lqEgg66JUPD,0.438,0.0769,0.215,0.189,158.146
1007,Styx,The Grand Illusion,0FFdCFGfmtqVaHTBYXybkx,0.595,0.169,0.572,0.333,94.617
1008,Talk Talk,Call in the Night Boys - 1997 Remaster,,,,,,
1009,Talk Talk,Living In Another World,03d3DCqwvt65Orfdomjs6e,0.857,0.00366,0.938,0.56,110.544
1010,Talk Talk,Talk Talk,6Vipnok4Hf5xpH6eJaxvr0,0.835,9.07e-05,0.828,0.61,135.248
1011,Talk Talk,The Last Time - 1997 Remaster,4MAmlSsRV2SWiZvk7z2BFB,0.754,0.147,0.954,0.719,116.337
1012,Talk Talk,The Party's Over - 1997 Remaster,51okCat2x9GxNUH5tuJ4ej,0.931,0.00827,0.626,0.597,117.051
1013,Talking Heads,Pull Up the Roots,7tzxJBTk35iJREdh8LkWOm,0.67,0.0653,0.82,0.774,126.234
1014,Talking Heads,Pulled Up - 2005 Remaster,1n9lGvOA1TKBvwVQ4tpB2o,0.755,0.117,0.973,0.688,139.853
1015,Temple of the Dog,Say Hello 2 Heaven,4L2S9GbwEgwfSbHjTCvNQX,0.647,0.0768,0.321,0.306,148.087
1016,The Beatles,Being For The Benefit Of Mr. Kite / I Want You (She's So Heavy) /  Helter Ske...,2MAU8kcMbo0lHXWzZ19SNo,0.69,0.0195,0.544,0.291,144.054
1017,The Beatles,Get Back,4MLBqAEzNN89o2M9h92Z26,0.592,0.492,0.332,0.761,123.095
1018,The Beatles,Here Comes the Sun,6dGnYIeXmHdcikdzNNDMm2,0.54,0.0339,0.394,0.557,129.171
1019,The Beatles,She's Leaving Home,3PjMtNzwhDHqxoKudm6GvF,0.214,0.944,0.393,0.381,127.581
1020,The Beatles,Taxman,4BRkPBUxOYffM2QXVlq7aC,0.596,0.0101,0.783,0.469,133.586
1021,The Cascades,Rhythm of the Rain,7GHf8dQ2wA71wYOuRsQCZP,0.66,0.627,0.672,0.659,116.634
1022,The Connells,'74-'75,2MAVcVr2oylw2OZ3hojWYj,0.59,0.183,0.43,0.53,144.202
1023,The Cure,10:15 Saturday Night,0l7djXY6dukQGO9qzWadiz,0.437,0.00624,0.355,0.656,174.701
1024,The Cure,Faith,79DE77tA2SOD92QuRedb5A,0.424,0.037,0.593,0.523,215.967
1025,The Cure,Just Like Heaven,76GlO5H5RT6g7y0gev86Nk,0.971,0.0271,0.764,0.43,151.219
1026,The Cure,Untitled - Remastered,,,,,,
1027,The Doors,My Eyes Have Seen You,6HSQ5z5afdLjhphHWfPiEG,0.83,0.284,0.943,0.417,131.715
1028,The Jesus and Mary Chain,The Hardest Walk,5Rww9p2xp4TSzk9nuIyZ2h,0.785,0.000152,0.474,0.302,128.18
1029,The Jesus and Mary Chain,The Living End,7qBNZBo1snT5NXOCNln1t5,0.866,1.96e-06,0.773,0.251,154.832
1030,The Limeliters,Take My True Love By The Hand,5JSUtDD6KzntMo1LC8Fg86,0.203,0.929,0.34,0.624,117.078
1031,The Mamas & the Papas,Somebody Groovy,1DmsXjXTjqQZ3kRl4yLvMw,0.693,0.272,0.803,0.572,116.558
1032,The Moody Blues,Tuesday Afternoon (Forever Afternoon),31pi9vJJWHZxygk8AoGd0d,0.322,0.0951,0.299,0.503,113.504
1033,The Psychedelic Furs,Fall,39KXyymEKDqnTCDBCPkwK4,0.958,0.123,0.626,0.635,139.116
1034,The Psychedelic Furs,Mr. Jones,707wkmVjKyaTKDqOYZQ9K1,0.977,0.0557,0.434,0.36,150.796
1035,The Psychedelic Furs,No Tears,6l8b61vnCxkfo9r71H9l1t,0.909,0.0445,0.908,0.456,132.547
1036,The Sisters of Mercy,Some Kind of Stranger,7AAUeH9v19WNJTggB0ahDL,0.564,0.703,0.254,0.45,95.004
1037,The Smiths,Panic,64D3dzWyj0GpQT1AHx4kbK,0.861,0.0175,0.844,0.53,130.476
1038,The Sound,Winning,7EOCSmPvQ8psymuLTsKfN2,0.721,2.73e-05,0.248,0.426,151.13
1039,The Specials,A Message to You Rudy,5dRfBz5ZXJc5gZJsNM04nn,0.45,0.149,0.969,0.906,103.476
1040,The Stone Roses,Waterfall,4CWgqHRJjDLd2PCedMz8eY,0.686,0.0236,0.436,0.491,103.707
1041,The Strokes,Last Nite,3SUusuA9jH1v6PVwtYMbdv,0.899,0.0223,0.797,0.624,104.055
1042,The Strokes,Someday,7hm4HTk9encxT0LYC0J6oI,0.52,0.00425,0.678,0.538,106.031
1043,The Velvet Underground,Beginning To See The Light,55nFZrJCd2ry0Q1iHCXDee,0.562,0.118,0.776,0.591,124.401
1044,The Vines,Country Yard,6YvTdIwa0ziWuys1FKk6Uo,0.732,0.0223,0.255,0.516,131.837
1045,Throbbing Gristle,Dead on Arrival,1F39S1jWuGsCZL7tx5pCKk,0.549,0.148,0.421,0.766,147.015
1046,Throbbing Gristle,Hamburger Lady,7eAewwhDIvqRKaIuRp71Sv,0.591,0.599,0.0399,0.347,83.065
1047,Throbbing Gristle,Valley of the Shadow of Death,0BH3Slj8uSeM8jbeh5sB57,0.788,0.696,0.0975,0.321,151.173
1048,Throbbing Gristle,Weeping,1W8HRCAabNBk4ejD4yhkYu,0.353,0.909,0.128,0.325,141.967
1049,Tove Lo,Cool Girl,3tJ4y2Zqx6gM9xOAuFfsSF,0.694,0.313,0.203,0.674,101.993
1050,Weezer,Island in the Sun,2MLHyLy5z5l5YRp7momlgw,0.81,0.00719,0.661,0.654,114.623
1051,Weezer,My Name Is Jonas,4nzyOwogJuWn1s6QuGFZ6w,0.94,0.00021,0.58,0.295,186.186
1052,Wilco,Impossible Germany,6L0BBPYeWnaQJeDa0ox0IA,0.727,0.584,0.507,0.553,104.95
1053,Wire,Another the Letter,0xr5ZFyC1SssS1dBHfrP5i,0.614,0.0262,0.753,0.514,142.169
1054,Wire,Men 2nd,1ptKPZyoKjI7PAJqAC9dVS,0.722,0.00187,0.857,0.503,112.96
1055,Ð¡Ð¾ÑÐ» Ð­ÑÐ´ÑÐ½Ñ,Ð¥Ð¾ÑÑÐ»Ð°Ð° ÐÑÑÐ»ÑÑ,0Fw2iOq2OffrDsBLeM0Gbl,0.507,0.0629,0.139,0.523,93.027
1056,10cc,Dreadlock Holiday,1LOZMYF5s8qhW7Rv4w2gun,0.38,0.541,0.892,0.837,104.995
1057,Aaudai Jadai (Timro Nyano),The Uglyz,,,,,,
1058,Amy Winehouse,You Know I'm No Good,4zQuwW24dweWcaX0fEJkP2,0.806,0.0132,0.734,0.705,103.383
1059,Ariana Grande,One Last Time,7xoUc6faLbCqZO6fQEYprd,0.593,0.093,0.104,0.628,125.026
1060,Ariana Grande,Touch It,7MGRcJy1saXKiphwqJBnRb,0.694,0.0303,0.291,0.536,100.906
1061,Avenged Sevenfold,Afterlife,7zAt4tdL44D3VuzsvM0N8n,0.949,0.000429,0.406,0.487,110.02
1062,Avicii,Lay Me Down,6ekvzkGg31TOQhHIFEd55x,0.67,0.00128,0.744,0.698,124.956
1063,Bauhaus,Of Lilies and Remains,0hrBY5YMWGpP4POebLM3BY,0.305,0.059,0.621,0.597,139.163
1064,Beach House,Days of Candy,6Jzr32geft80FJxOPGr4uw,0.488,0.693,0.0548,0.289,121.172
1065,Beach House,Sparks,5ORY1GDl3lpEDyU1CzSq26,0.765,0.0379,0.394,0.33,96.075
1066,Billy Joel,Just The Way You Are,49MHCPzvMLXhRjDantBMVH,0.453,0.703,0.513,0.589,139.148
1067,Black Sabbath,N.I.B.,2GnVuaoKSkB6Xa07l1BBg8,0.556,0.0838,0.43,0.476,103.122
1068,Blondie,Island of Lost Souls,6zpOOolgl41YcyyQfbykpR,0.632,0.181,0.835,0.599,81.287
1069,Blondie,Shayla,1OGQGQgmbUnRStarwKxvrr,0.51,0.229,0.13,0.33,114.612
1070,Blondie,The Tide Is High,165NAtd2DRPKNQ6EVY0VG9,0.667,0.0514,0.964,0.778,96.954
1071,Blvmenkind,Dream With You (Ft. Sam Darton),,,,,,
1072,Buckethead,Soothsayer (Dedicated to Aunt Suzie),5VBwLOZDyDWInNYIUniuZG,0.766,0.000424,0.227,0.23,151.106
1073,Cage the Elephant,Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0,0.675,0.0801,0.273,0.635,113.946
1074,Chuck Berry,Let It Rock,2OCoH12t6olzx9bT1PEC8F,0.716,0.581,0.935,0.632,164.851
1075,Chumbawamba,Tubthumping,5YScXJKtefsgdskIy60N7A,0.871,0.106,0.622,0.263,206.68
1076,Coldplay,The Scientist,75JFxkI2RXiU7L9VXzMkle,0.442,0.731,0.213,0.557,146.277
1077,Creedence Clearwater Revival,Proud Mary,2EZc13S7YRi6bTS3SKteRN,0.391,0.163,0.786,0.72,120.794
1078,Creedence Clearwater Revival,The Midnight Special,5fOMHgOpYC0ryDhqPQXs0r,0.711,0.00365,0.538,0.413,128.853
1079,Crosby & Nash,Immigration Man,2vTSy6O0W47RiIEdp0wDJ9,0.931,0.373,0.648,0.287,175.656
1080,Crosby, Stills,,,,,,
1081,Dagny,Wearing Nothing,2TDCuQqCA7VwmihYZnvUY1,0.71,0.0193,0.39,0.691,104.855
1082,David Bowie,Speed of Life - 2017 Remaster,7B265QWYkUeqG2ihVEUZ5D,0.852,0.0065,0.667,0.423,114.691
1083,David Bowie,Subterraneans - 2017 Remaster,2yfKkvgywRAY9xy849piLp,0.159,0.653,0.0597,0.158,132.245
1084,David Bowie,What in the World - 2017 Remaster,04UsGrg02dEMLnTZdBNyRI,0.97,0.027,0.494,0.562,122.922
1085,Def Leppard,Let It Go,1aR6W01r094onPc4O2avEp,0.915,0.00444,0.409,0.409,138.143
1086,Def Leppard,Pour Some Sugar on Me,0PdM2a6oIjqepoEfcJo0RO,0.953,0.00211,0.568,0.267,84.989
1087,Deltron 3030,Mastermind,0uMn8WKu3qtQLaUyal1bsz,0.657,0.00224,0.25,0.741,94.211
1088,Depeche Mode,My Secret Garden,3PVdIytWQCEuYZjQ3bCQSA,0.722,0.409,0.496,0.712,115.722
1089,Depeche Mode,"Policy Of Truth - 7"" Version",,,,,,
1090,Dire Straits,Lady Writer,3mwFncaI2HBczQ92GP9MQF,0.798,0.166,0.963,0.633,147.645
1091,Downface,Purge,36TPDLrlNDhVrZ4KbBywJl,0.662,0.00939,0.248,0.404,130.132
1092,Dr. Dre,I Need a Doctor (feat. Eminem & Skylar Grey),,,,,,
1093,Dua Lipa,Cool,2nMOodYNHBAQ3Kc1QNimZU,0.785,0.133,0.79,0.47,89.717
1094,Dua Lipa,Levitating,463CkQjx2Zk1yXoBuierM9,0.825,0.00883,0.915,0.702,102.977
1095,Dua Lipa,Physical,3AzjcOeAmA57TIOr9zF1ZW,0.844,0.0137,0.746,0.647,146.967
1096,Ducktails,Letter of Intent,5akpQL2mBRLaM5dNSw1ZsL,0.781,0.000289,0.812,0.59,80.609
1097,Eagles,Heartache Tonight,2bzgKuK3pVez40qUvo8sYr,0.511,0.0778,0.858,0.81,113.153
1098,Eagles,Peaceful Easy Feeling,40h65HAR8COEoqkMwUUQHu,0.634,0.494,0.866,0.568,142.686
1099,Eagles,The Best of My Love,5MLLuLqPdUlx8bfKtdkLwO,0.393,0.717,0.669,0.559,90.105
1100,Echo & the Bunnymen,All I Want,4uVUa5yCpYwIiS6qouJiAz,0.878,0.0735,0.507,0.541,136.948
1101,Echo & the Bunnymen,Stars Are Stars,7wkCQUjsllXFZOJ89s5C6g,0.705,0.00972,0.662,0.524,135.835
1102,Echosmith,Scared To Be Alone,74FfgpkqdeyMABOGB1LFYL,0.875,0.00136,0.515,0.553,150.057
1103,Erang,The Highway Goes Ever On,2wPPxFvQrrBvcgY7XQ5DL5,0.364,0.000327,0.0376,0.502,187.507
1104,Fiona Apple,Shadowboxer,0XMzFZgFvEqH2nEa3iwNUD,0.52,0.265,0.223,0.298,74.131
1105,Foxes,Let Go for Tonight,59lq75uFIqzUZcgZ4CbqFG,0.808,0.0429,0.299,0.543,140.064
1106,FrÃ©dÃ©ric Chopin,Nocturnes,,,,,,
1107,FrÃ©dÃ©ric Chopin,Nocturnes,,,,,,
1108,FrÃ©dÃ©ric Chopin,Nocturnes,,,,,,
1109,Froth,Shatter,6V48YJl78bJthpf7U9b6q5,0.899,0.00741,0.361,0.521,131.613
1110,Froth,Turn It Off,70bIGNeXqdzTp7WJSzOgQ7,0.79,1.43e-06,0.32,0.247,152.488
1111,Gabrielle,Greensleeves,,,,,,
1112,Guns N' Roses,Knockin' on Heaven's Door,4JiEyzf0Md7KEFFGWDDdCr,0.739,0.0211,0.378,0.496,132.41
1113,Guns N' Roses,Sweet Child o' Mine,7snQQk1zcKl8gZ92AnueZW,0.952,0.0901,0.624,0.446,125.303
1114,Guster,One Man Wrecking Machine,0YhEJmOYZoRdKNPbCvHs8R,0.795,0.00099,0.21,0.527,96.917
1115,Have a Nice Life,Bloodhail,5qZ4c1EBVWpmz1GBaks8Uq,0.607,0.0332,0.41,0.182,75.562
1116,Have a Nice Life,Holy Fucking Shit: 40,0oPnyCLqcn2ZNzwy5pLKDR,0.388,0.89,0.139,0.427,122.274
1117,Have a Nice Life,Telefony,,,,,,
1118,Have a Nice Life,The Future,36hfuJ6XOZdOuToo4SgLVv,0.432,0.184,0.208,0.195,77.015
1119,Have a Nice Life,There Is No Food,30j2ZsXF9MpdbDrCwYwPNk,0.21,0.771,0.0921,0.0961,83.882
1120,Have a Nice Life,Waiting for Black Metal Records to Come in the Mail,3uIA46kBcrbOII0DEXFfkI,0.78,0.00344,0.0538,0.33,77.489
1121,Have a Nice Life,Who Would Leave Their Son Out in the Sun?,0YyazmHAuu1j8wxSZXSPK4,0.133,0.973,0.0528,0.0709,68.287
1122,Hippo Campus,Vacation,1s6ZeNCxTkbN0QgzsvK2SB,0.813,0.213,0.554,0.491,82.901
1123,Horsebeach,A Place Like This,6o57eHthvpT0OZIKQly7qR,0.594,1.82e-05,0.448,0.457,96.884
1124,Horsebeach,Disappear,4TG3oQLQGo7LTLng49DSoh,0.732,0.00576,0.523,0.506,111.015
1125,Horsebeach,Yuuki,5LojYbTERXx0OFMj7nHHrP,0.435,0.816,0.557,0.679,94.0
1126,Hot Flash Heat Wave,Sky So Blue,6fl9zJjSy2ux4icF4vwL1U,0.791,0.45,0.537,0.514,133.991
1127,Jackson C. Frank,Milk and Honey - 2001 Remaster,5gNchicUY2EvUvZOE2eBzg,0.106,0.948,0.318,0.454,106.619
1128,Jimi Hendrix,Voodoo Chile (Slight Return),,,,,,
1129,Joan Baez,Diamonds And Rust,4O0sGJdqpHMaWz7KoVd7tb,0.343,0.243,0.265,0.506,130.052
1130,Joy Division,Failures,3T89Non4DVRIpga4MnHTq4,0.948,0.0152,0.12,0.21,171.271
1131,Joy Division,Komakino - 2010 Remaster,6lICweXHg7HsfYWsbb3HeN,0.749,0.169,0.853,0.654,125.092
