,Artist,Track,ID,energy,acousticness,valence,danceability,tempo
54,Horsebeach,how far must we go?,4TbqJs6qzpK5A0lzAdEbLd,0.695,0.0253,0.509,0.535,145.411
55,Joy Division,Dead Souls,1cjzx1lSvXO42zLAZq1zzP,0.962,0.0496,0.633,0.484,116.795
56,Joy Division,Disorder,5fbQCQt91LsVgXusFS0CCD,0.798,0.00033,0.74,0.32,84.696
57,Joy Division,She's Lost Control,0rcLhYRihks3t4lFPtHhQV,0.846,0.0157,0.743,0.485,144.246
58,The Growlers,Black Memories,0Zr9v40jtlYsFHCCw8jY5L,0.572,0.0064,0.839,0.614,113.953
59,Ariana Grande,God is a woman,5OCJzvD7sykQEKHH7qAC3C,0.658,0.0233,0.268,0.602,145.031
60,Joy Division,Passover - 2007 Remaster,6SnD5dJk06mhNQvvF270cw,0.577,0.0495,0.941,0.773,127.977
61,Slowdive,Erik's Song,0QwLXiZIF9wFkEGW9INVOe,0.685,0.579,0.115,0.243,61.545
62,Horsebeach,Beneath Our Feet,73m5ScovfIjEUVIOLlwXEt,0.656,4.51e-05,0.393,0.616,118.413
63,Joy Division,A Means to an End,4HgxCQLqNcd8s6lyoR4aag,0.786,0.0389,0.752,0.655,130.549
64,Men I Trust,I Hope to Be Around,0Molxw6WdYhOifas6NiQL2,0.383,0.78,0.788,0.821,87.954
65,Pale Honey,Why Do I Always Feel This Way,379uzd2tU17ACrXZQPUq5t,0.336,0.203,0.733,0.613,175.938
66,Pixies,Monkey Gone to Heaven,66y10QvvJvQlpigUrr4Aba,0.53,0.119,0.316,0.466,121.57
67,Horsebeach,It's Alright,0ZAdCDeysyoh5BOpuSGKy3,0.621,0.0221,0.694,0.584,110.317
68,Men I Trust,Show Me How,01TyFEZu6mHbffsVfxgrFn,0.267,0.674,0.544,0.791,165.99
69,Portishead,Roads,2sW8fmnISifQTRgnRrQTYW,0.294,0.778,0.192,0.607,76.083
70,Radiohead,Everything in Its Right Place,2kRFrWaLWiKq48YYVdGcm8,0.463,0.705,0.0629,0.296,123.943
71,Slowdive,Waves,0tEuudfO34gLfTTcUSOFlB,0.665,0.00309,0.13,0.14,187.739
72,Talk Talk,Tomorrow Started - 1997 Remaster,3khWEPmZJ8X1QMlW0iKcSF,0.589,0.0753,0.51,0.637,128.91
73,Two People,In The Garden,1nbb4NsWDRwQB6MqarCO5E,0.631,0.401,0.0993,0.581,82.987
74,Acid Ghost,New York,7mHVncGZz23AWFGfvHf70Z,0.458,0.89,0.571,0.664,93.561
75,Depeche Mode,World in My Eyes,70B5oP5ng1QYClkJ9CeWly,0.881,0.00737,0.949,0.66,122.244
76,Joy Division,Atmosphere,7k42ztYdHyKWrKrENxwjkV,0.399,0.242,0.469,0.609,119.937
77,Joy Division,Heart and Soul,4SDscXJTjdF2YgSkYADyU0,0.611,0.211,0.68,0.64,149.774
78,Radiohead,I Might Be Wrong,5JZ1jTanqLWVuThmZ6XRAc,0.735,0.261,0.505,0.602,102.895
79,Tender,Slow Love,5bOBc05OJjuCusiPiq90Cm,0.856,0.774,0.745,0.68,74.969
80,The Cure,Prayers for Rain,4Qq0UKztCAIfu0Tfgmb1d2,0.683,0.00472,0.108,0.563,116.964
81,Def Leppard,Lady Strange,7dDwYtWBlsCCUMcsU6fe3n,0.902,0.00826,0.689,0.428,136.098
82,Joy Division,Insight,7oNu4gShXbbM1GBJtfJucq,0.476,0.0211,0.164,0.636,131.22
83,Mild Orange,Mysight,5AJXucnDEp4GizQwDWW8m6,0.557,0.0714,0.238,0.611,132.098
84,Slowdive,Dagger,3MmRfG64qt04Efx9gK9Ec8,0.212,0.625,0.265,0.506,146.355
85,Slowdive,Here She Comes,5FuYgi1xinZAQyD5CYLpUJ,0.0728,0.573,0.232,0.547,75.33
86,Slowdive,Joy,,,,,,
87,Slowdive,The Sadman,6ktlz091RxLid9rd9MmB8n,0.419,0.0263,0.066,0.218,135.596
88,Talking Heads,New Feeling - 2005 Remaster,2pmytOddxLVaASHQqTH9LO,0.83,0.0147,0.964,0.789,128.482
89,The Cure,Cold,3XerBkjkILRc48huk5NkLG,0.832,0.0916,0.238,0.473,100.881
90,The Cure,Disintegration,0zY8t5dC1KQXcPUKByWMJM,0.943,0.308,0.125,0.593,122.02
91,Wilco,How To Fight Loneliness,1CsMuJeMzRqNgS7G0fo1Gv,0.378,0.596,0.4,0.692,123.658
92,Acid Ghost,Mistakes,5msB7Lu3k6IHhK9dbGEWua,0.811,0.708,0.323,0.604,100.027
93,Confidence Man,Out The Window,2cj1pnYsPSCT72lHBFTXPs,0.767,0.000508,0.51,0.641,105.017
94,Joy Division,Passover,6SnD5dJk06mhNQvvF270cw,0.577,0.0495,0.941,0.773,127.977
95,King Crimson,I Talk to the Wind,2htrobARQSYCNg46T1HO5D,0.308,0.539,0.313,0.273,81.028
96,Slowdive,Primal,57cXmeqCiKUF0GpJDFVAkt,0.602,2.2e-05,0.18,0.144,142.338
97,Talk Talk,Tomorrow Started,3khWEPmZJ8X1QMlW0iKcSF,0.589,0.0753,0.51,0.637,128.91
98,Talking Heads,The Great Curve,35ljOibZSLEjOEPGrbaJsH,0.869,0.403,0.687,0.6,152.06
99,Zero 7,In the Waiting Line,5ARrtxJLVCeTv5TWo1oKgC,0.33,0.76,0.378,0.561,79.01
100,Ariana Grande,no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,0.713,0.04,0.354,0.699,121.993
101,Blue Ãyster Cult,Then Came the Last Days of May,,,,,,
102,Coldplay,Don't Panic,,,,,,
103,Depeche Mode,It's No Good,04ARYAWkGZZhDbHqgvnYGf,0.756,0.00866,0.185,0.601,99.096
104,Joy Division,Decades,1nht40JT9sTCtXxrpPi5Gm,0.538,0.000489,0.436,0.572,107.089
105,Joy Division,Incubation,3M5BbGhVt5QssJsif7yOF2,0.914,0.000143,0.918,0.475,142.115
106,Joy Division,Interzone - 2007 Remaster,3iMq9V0Ece9ubjWAYVcMwj,0.783,0.000126,0.746,0.478,156.337
107,Joy Division,Love Will Tear Us Apart,34iOH7LY3vme5rQxsVILZ4,0.923,0.000541,0.899,0.527,146.924
108,Kurt Vile,Dust Bunnies,2ieHhkSn31vTajephIInsb,0.657,0.254,0.764,0.722,106.918
109,Mansionair,Violet City,4VPHxAtloVdaRWrzHJUtCA,0.746,0.0632,0.371,0.593,162.009
110,richard twice,The Finest Poet,,,,,,
111,Slowdive,Sing,2alubJkPNdHA97Unct4J23,0.568,0.57,0.142,0.349,139.293
112,The Mamas & the Papas,Do You Wanna Dance,645pkWAIHbCECpVsaZAxKq,0.341,0.744,0.637,0.592,108.79
113,Charlie Puth,Attention,5cF0dROlMOK5uNZtivgu50,0.613,0.109,0.797,0.775,100.066
114,Claire Laffut,VÃ©ritÃ©,,,,,,
115,Echo & the Bunnymen,Show of Strength,4rnSOS7lRqsqf2qMo1TsyF,0.805,0.00206,0.567,0.495,137.854
116,Echo & the Bunnymen,The Cutter,617ahruubznvqzv7Nas3QX,0.955,0.00485,0.35,0.471,139.266
117,Joy Division,Wilderness,69uyiCMqXdr7qVYGHL4I8t,0.651,0.00144,0.492,0.584,120.023
118,Men I Trust,Break For Lovers,1mXE3amJxqLBPBUBYQi55e,0.326,0.0277,0.813,0.858,97.994
119,Radiohead,Jigsaw Falling Into Place,0YJ9FWWHn9EfnN0lHwbzvV,0.832,0.108,0.807,0.462,165.653
